Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 2,097,152
  lm_head                 : 2,097,152
  transformer_matrices    : 1,310,784
  scalars                 : 4
  total                   : 7,602,244
Estimated FLOPs per token: 3.303053e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2154ms | tok/sec: 15,214 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.930954 | lrm: 1.00 | dt: 899ms | tok/sec: 36,450 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.682712 | lrm: 1.00 | dt: 813ms | tok/sec: 40,284 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.356075 | lrm: 1.00 | dt: 926ms | tok/sec: 35,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.053289 | lrm: 1.00 | dt: 807ms | tok/sec: 40,615 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.788616 | lrm: 1.00 | dt: 808ms | tok/sec: 40,575 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.568250 | lrm: 1.00 | dt: 911ms | tok/sec: 35,951 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.383761 | lrm: 1.00 | dt: 925ms | tok/sec: 35,413 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.217803 | lrm: 1.00 | dt: 912ms | tok/sec: 35,913 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.075221 | lrm: 1.00 | dt: 913ms | tok/sec: 35,883 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.949702 | lrm: 1.00 | dt: 929ms | tok/sec: 35,269 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.837407 | lrm: 1.00 | dt: 845ms | tok/sec: 38,787 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.743113 | lrm: 1.00 | dt: 808ms | tok/sec: 40,546 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.650439 | lrm: 1.00 | dt: 1023ms | tok/sec: 32,039 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.564678 | lrm: 1.00 | dt: 933ms | tok/sec: 35,113 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.497015 | lrm: 1.00 | dt: 803ms | tok/sec: 40,792 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.426228 | lrm: 1.00 | dt: 802ms | tok/sec: 40,867 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.366342 | lrm: 1.00 | dt: 810ms | tok/sec: 40,451 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.322213 | lrm: 1.00 | dt: 857ms | tok/sec: 38,244 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.264724 | lrm: 1.00 | dt: 802ms | tok/sec: 40,867 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00020 (2.6%) | loss: 6.228833 | lrm: 1.00 | dt: 803ms | tok/sec: 40,829 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 6.176278 | lrm: 1.00 | dt: 805ms | tok/sec: 40,719 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 6.144131 | lrm: 1.00 | dt: 805ms | tok/sec: 40,699 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 6.104461 | lrm: 1.00 | dt: 802ms | tok/sec: 40,849 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00024 (3.6%) | loss: 6.070174 | lrm: 1.00 | dt: 801ms | tok/sec: 40,893 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00025 (3.9%) | loss: 6.035834 | lrm: 1.00 | dt: 812ms | tok/sec: 40,334 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00026 (4.2%) | loss: 6.000427 | lrm: 1.00 | dt: 891ms | tok/sec: 36,785 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00027 (4.5%) | loss: 5.980916 | lrm: 1.00 | dt: 826ms | tok/sec: 39,653 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00028 (4.7%) | loss: 5.947511 | lrm: 1.00 | dt: 978ms | tok/sec: 33,498 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 5.923697 | lrm: 1.00 | dt: 948ms | tok/sec: 34,552 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 5.905097 | lrm: 1.00 | dt: 814ms | tok/sec: 40,251 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00031 (5.7%) | loss: 5.882312 | lrm: 1.00 | dt: 929ms | tok/sec: 35,263 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00032 (6.0%) | loss: 5.859924 | lrm: 1.00 | dt: 808ms | tok/sec: 40,567 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 5.840534 | lrm: 1.00 | dt: 829ms | tok/sec: 39,519 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00034 (6.5%) | loss: 5.822438 | lrm: 1.00 | dt: 906ms | tok/sec: 36,186 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00035 (6.8%) | loss: 5.805593 | lrm: 1.00 | dt: 827ms | tok/sec: 39,606 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00036 (7.1%) | loss: 5.785875 | lrm: 1.00 | dt: 922ms | tok/sec: 35,532 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00037 (7.4%) | loss: 5.779132 | lrm: 1.00 | dt: 807ms | tok/sec: 40,588 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00038 (7.7%) | loss: 5.763180 | lrm: 1.00 | dt: 962ms | tok/sec: 34,046 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00039 (8.0%) | loss: 5.744942 | lrm: 1.00 | dt: 808ms | tok/sec: 40,544 | mfu: 0.1% | epoch: 1 | remaining: 275s    
