Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 2,097,152
  lm_head                 : 2,097,152
  transformer_matrices    : 1,310,784
  scalars                 : 4
  total                   : 7,602,244
Estimated FLOPs per token: 3.303053e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2547ms | tok/sec: 12,865 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.931500 | lrm: 1.00 | dt: 858ms | tok/sec: 38,211 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.678578 | lrm: 1.00 | dt: 846ms | tok/sec: 38,710 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.347217 | lrm: 1.00 | dt: 846ms | tok/sec: 38,719 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.046802 | lrm: 1.00 | dt: 827ms | tok/sec: 39,626 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.779203 | lrm: 1.00 | dt: 901ms | tok/sec: 36,351 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.558963 | lrm: 1.00 | dt: 832ms | tok/sec: 39,378 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.374816 | lrm: 1.00 | dt: 894ms | tok/sec: 36,632 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.209807 | lrm: 1.00 | dt: 812ms | tok/sec: 40,345 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.069072 | lrm: 1.00 | dt: 901ms | tok/sec: 36,370 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.945954 | lrm: 1.00 | dt: 819ms | tok/sec: 40,017 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.833901 | lrm: 1.00 | dt: 831ms | tok/sec: 39,417 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.739556 | lrm: 1.00 | dt: 800ms | tok/sec: 40,963 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.647848 | lrm: 1.00 | dt: 916ms | tok/sec: 35,766 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (0.8%) | loss: 6.562908 | lrm: 1.00 | dt: 803ms | tok/sec: 40,793 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.496188 | lrm: 1.00 | dt: 803ms | tok/sec: 40,812 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 6.426395 | lrm: 1.00 | dt: 803ms | tok/sec: 40,788 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.366783 | lrm: 1.00 | dt: 926ms | tok/sec: 35,403 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00018 (2.0%) | loss: 6.321813 | lrm: 1.00 | dt: 990ms | tok/sec: 33,091 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00019 (2.3%) | loss: 6.263998 | lrm: 1.00 | dt: 822ms | tok/sec: 39,884 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00020 (2.6%) | loss: 6.228026 | lrm: 1.00 | dt: 954ms | tok/sec: 34,363 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00021 (2.9%) | loss: 6.176256 | lrm: 1.00 | dt: 961ms | tok/sec: 34,105 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00022 (3.2%) | loss: 6.144112 | lrm: 1.00 | dt: 941ms | tok/sec: 34,825 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00023 (3.5%) | loss: 6.104852 | lrm: 1.00 | dt: 800ms | tok/sec: 40,983 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00024 (3.8%) | loss: 6.071148 | lrm: 1.00 | dt: 819ms | tok/sec: 40,011 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00025 (4.1%) | loss: 6.037285 | lrm: 1.00 | dt: 949ms | tok/sec: 34,530 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00026 (4.4%) | loss: 6.001934 | lrm: 1.00 | dt: 827ms | tok/sec: 39,600 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00027 (4.6%) | loss: 5.982490 | lrm: 1.00 | dt: 895ms | tok/sec: 36,594 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00028 (4.9%) | loss: 5.949037 | lrm: 1.00 | dt: 822ms | tok/sec: 39,841 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00029 (5.2%) | loss: 5.925078 | lrm: 1.00 | dt: 875ms | tok/sec: 37,440 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00030 (5.5%) | loss: 5.906206 | lrm: 1.00 | dt: 808ms | tok/sec: 40,535 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00031 (5.8%) | loss: 5.882745 | lrm: 1.00 | dt: 866ms | tok/sec: 37,848 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00032 (6.1%) | loss: 5.859702 | lrm: 1.00 | dt: 987ms | tok/sec: 33,205 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00033 (6.4%) | loss: 5.839931 | lrm: 1.00 | dt: 810ms | tok/sec: 40,454 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00034 (6.7%) | loss: 5.821156 | lrm: 1.00 | dt: 920ms | tok/sec: 35,614 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00035 (7.0%) | loss: 5.803941 | lrm: 1.00 | dt: 805ms | tok/sec: 40,722 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00036 (7.2%) | loss: 5.783887 | lrm: 1.00 | dt: 903ms | tok/sec: 36,297 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00037 (7.5%) | loss: 5.776469 | lrm: 1.00 | dt: 807ms | tok/sec: 40,626 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00038 (7.8%) | loss: 5.759801 | lrm: 1.00 | dt: 911ms | tok/sec: 35,972 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00039 (8.1%) | loss: 5.741021 | lrm: 1.00 | dt: 800ms | tok/sec: 40,937 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00040 (8.4%) | loss: 5.728315 | lrm: 1.00 | dt: 809ms | tok/sec: 40,512 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00041 (8.7%) | loss: 5.711531 | lrm: 1.00 | dt: 819ms | tok/sec: 40,004 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00042 (8.9%) | loss: 5.700285 | lrm: 1.00 | dt: 802ms | tok/sec: 40,834 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00043 (9.2%) | loss: 5.680233 | lrm: 1.00 | dt: 996ms | tok/sec: 32,914 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00044 (9.5%) | loss: 5.660894 | lrm: 1.00 | dt: 943ms | tok/sec: 34,764 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00045 (9.8%) | loss: 5.646781 | lrm: 1.00 | dt: 812ms | tok/sec: 40,364 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00046 (10.1%) | loss: 5.623084 | lrm: 1.00 | dt: 889ms | tok/sec: 36,843 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00047 (10.4%) | loss: 5.609567 | lrm: 1.00 | dt: 811ms | tok/sec: 40,390 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00048 (10.7%) | loss: 5.596542 | lrm: 1.00 | dt: 818ms | tok/sec: 40,054 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00049 (11.0%) | loss: 5.589560 | lrm: 1.00 | dt: 910ms | tok/sec: 35,999 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00050 (11.3%) | loss: 5.572603 | lrm: 1.00 | dt: 817ms | tok/sec: 40,084 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00051 (11.5%) | loss: 5.568568 | lrm: 1.00 | dt: 881ms | tok/sec: 37,186 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00052 (11.8%) | loss: 5.560272 | lrm: 1.00 | dt: 797ms | tok/sec: 41,103 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00053 (12.1%) | loss: 5.547063 | lrm: 1.00 | dt: 805ms | tok/sec: 40,719 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00054 (12.4%) | loss: 5.533127 | lrm: 1.00 | dt: 917ms | tok/sec: 35,749 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00055 (12.7%) | loss: 5.522912 | lrm: 1.00 | dt: 865ms | tok/sec: 37,880 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00056 (12.9%) | loss: 5.508967 | lrm: 1.00 | dt: 838ms | tok/sec: 39,120 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00057 (13.2%) | loss: 5.491659 | lrm: 1.00 | dt: 811ms | tok/sec: 40,382 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00058 (13.5%) | loss: 5.491640 | lrm: 1.00 | dt: 834ms | tok/sec: 39,290 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00059 (13.8%) | loss: 5.468900 | lrm: 1.00 | dt: 894ms | tok/sec: 36,647 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00060 (14.1%) | loss: 5.461852 | lrm: 1.00 | dt: 811ms | tok/sec: 40,383 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00061 (14.3%) | loss: 5.454165 | lrm: 1.00 | dt: 865ms | tok/sec: 37,891 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00062 (14.6%) | loss: 5.444057 | lrm: 1.00 | dt: 808ms | tok/sec: 40,533 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00063 (14.9%) | loss: 5.437675 | lrm: 1.00 | dt: 869ms | tok/sec: 37,715 | mfu: 0.1% | epoch: 1 | remaining: 254s    
step 00064 (15.2%) | loss: 5.424924 | lrm: 1.00 | dt: 865ms | tok/sec: 37,876 | mfu: 0.1% | epoch: 1 | remaining: 254s    
step 00065 (15.5%) | loss: 5.426710 | lrm: 1.00 | dt: 804ms | tok/sec: 40,775 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00066 (15.7%) | loss: 5.415480 | lrm: 1.00 | dt: 886ms | tok/sec: 36,984 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00067 (16.0%) | loss: 5.412220 | lrm: 1.00 | dt: 810ms | tok/sec: 40,473 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00068 (16.3%) | loss: 5.394398 | lrm: 1.00 | dt: 882ms | tok/sec: 37,133 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00069 (16.6%) | loss: 5.386984 | lrm: 1.00 | dt: 808ms | tok/sec: 40,543 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00070 (16.9%) | loss: 5.378517 | lrm: 1.00 | dt: 813ms | tok/sec: 40,318 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00071 (17.1%) | loss: 5.361121 | lrm: 1.00 | dt: 804ms | tok/sec: 40,731 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00072 (17.4%) | loss: 5.354821 | lrm: 1.00 | dt: 811ms | tok/sec: 40,418 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00073 (17.7%) | loss: 5.340557 | lrm: 1.00 | dt: 907ms | tok/sec: 36,116 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00074 (18.0%) | loss: 5.328376 | lrm: 1.00 | dt: 920ms | tok/sec: 35,633 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00075 (18.3%) | loss: 5.318008 | lrm: 1.00 | dt: 800ms | tok/sec: 40,936 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00076 (18.6%) | loss: 5.319973 | lrm: 1.00 | dt: 802ms | tok/sec: 40,867 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00077 (18.8%) | loss: 5.304496 | lrm: 1.00 | dt: 950ms | tok/sec: 34,509 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00078 (19.1%) | loss: 5.290924 | lrm: 1.00 | dt: 924ms | tok/sec: 35,465 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00079 (19.5%) | loss: 5.275129 | lrm: 1.00 | dt: 803ms | tok/sec: 40,824 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00080 (19.7%) | loss: 5.278816 | lrm: 1.00 | dt: 802ms | tok/sec: 40,869 | mfu: 0.1% | epoch: 1 | remaining: 240s    
